siren;nom;type_activite;type_hebergement;type_restauration;complement_adresse;numeroVoie;typeVoie;libelleVoie;codeCommune;codePostal;Commune;x;y
314303587;CAFE DE LA PLACE;restauration;;restaurant;;;PL;CARNOT;11049;11150;BRAM;;
380233049;L'AUBERGE DU DOMINICAIN;restauration;;restaurant;RTE NATIONALE 119;14;AV;DU LAURAGAIS;11254;11290;MONTREAL;;
398080838;VILLELONGUE ACCUEIL;hebergement;chambre_hote;;;;;ABBAYE DE VILLELONGUE;11357;11170;SAINT MARTIN LE VIEIL;;
400668778;DOMAINE DE JOUCLA;hebergement;chambre_hote;;;;;DOMAINE DE JOUCLA;11009;11170;ALZONNE;;
413704982;LA TABLE FERMIERE;restauration;;restaurant;;2;;HAMEAU DE VILLELONGUE;11357;11170;SAINT MARTIN LE VIEIL;;
414990911;VILLELONGUE COTE JARDINS;hebergement;chambre-hote;;LIEU DIT VILLELONGUE;;;;11357;11170;SAINT MARTIN LE VIEIL;;
482965191;LE CLOS SAINT LOUP;restauration/hebergement;hotel;restaurant;;69;AV;DE RAZES;11049;11150;BRAM;;
493819460;LE PETIT GOURMAND;restauration;;restaurant;;3;RUE;JOLIOT CURIE;11049;11150;BRAM;;
501427108;VILLA LES CEDRES;hebergement;chambre-hote;;;2;RUE;DES ECOLES;11009;11170;ALZONNE;;
502600679;AUX DEUX ACACIAS;restauration;;restaurant;;;RTE;NATIONALE;11434;11150;VILLEPINTE;;
513037432;CHEZ MAMA;restauration;;pizzeria;;17;RUE;DE LA PROMENADE;11009;11170;ALZONNE;;
522627611;DOMAINE LES MAGASINS;hebergement;gites;;;;;LES MAGASINS;11049;11150;BRAM;;
527783906;SNACK-PIZZERIA DE L'ANGLE;restauration;;restaurant;;58;AV;DU GENERAL DE GAULLE;11049;11150;BRAM;;
529539090;LOTUS 1;restauration;;restaurant;;24;AV;GENERAL DE GAULLE;11049;11150;BRAM;;
535040968;L'EXPRESS;restauration;;restaurant;;1;AV;DU LAURAGAIS;11254;11290;MONTREAL;;
752974865;LA PUJADE;hebergement;camping;;;;DOM;LA PUJADE;11009;11170;ALZONNE;;
798995718;AUDE A LA CABANE;hebergement;insolite;;;;;DOMAINE DE FONTALES;11254;11290;MONTREAL;;
804963874;OBA DOS SANTOS;restauration;;restaurant;;9;RUE;MALBEC;11254;11290;MONTREAL;;
809610637;L'ILE AUX OISEAUX;restauration;;restaurant;MAISON CANTONNIERE DU PORT DE BRAM;;;PORT DE BRAM;11049;11150;BRAM;;
814202735;PIZZA RAPIDO;restauration;;pizzeria;;4;AV;ERNEST LEOTARD;11049;11150;BRAM;;
814902920;MYLOVEBURGER;restauration;;restauration ambulante;;11;RES;DES MOULINS;11281;11150;PEXIORA;;
818081358;LA FLIBUSTE;restauration;;créperie;;23;PL;CARNOT;11049;11150;BRAM;;
818090995;HOTEL LA PRADE OUEST;hebergement;hotel;;;;;CHATEAU DE LA PRADE;11049;11150;BRAM;;
818639221;DOMAINE SALADRY;hebergement;gites;;;;;A SALADRI;11434;11150;VILLEPINTE;;
820810554;DOMAINE LA FORCATE;hebergement;chambre_hote;;;;DOM;DE LA FORCATE;11438;11150;VILLESISCLE;;
823149976;CUISINE D'ICI ET LA;restauration;;restaurant;;2;IMP;DE LA MALEPERE;11049;11150;BRAM;;
829222157;PIZZERIA ENTRE-NOUS;restauration;;pizzeria;;41;;BOULEVARD GAMBETTA;11434;11150;VILLEPINTE;;
831314992;LA CAMPANETTE;hebergement;gites;;;;DOM;LA CAMPANETTE;11254;11290;MONTREAL;;
835055153;CAMELLAS-LLORET;hebergement;chambre_hote;;;5;RUE;DE L'ANGLE;11254;11290;MONTREAL;;
